Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
9,Aardonyx_celestae,Aardonyx,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,198,"Yates et al. 2009; measurements of larger individual; femur of smaller individual known (BP/1/6510; length = 681; mediolateral width at midshaft = 91, circumference=285); radius and mt III of the 'larger individual' reported by Yates et al. (2009) both 1.2 times as long as those of the 'smaller individual'","juveniles, bonebed (hypothetical 'larger individual' documented here, but was 'still growing' at the time of death)",1,0,"BPI, Bernard Price Institute, Witswatersrand University, Johannesburg, South Africa",BP/1/6254 and other specimens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Abelisaurus_comahuensis,Abelisaurus,Theropoda,Ceratosauria,Ceratosauria,Early_Campanian,Early_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skull length (425mm) approximately as long as Skorpiovenator (450 mm; MMCH-PV 48),Skull only,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,Abrictosaurus_consors,Abrictosaurus_consors,Ornithischia,Ornithischia,Ornithischia,Hettangian,Sinemurian,77.1,NA,6.2,8.4,102.8,NA,53.5,NA,5.5,NA,NA,NA,54.5,BMNH RU B.54 (MTC); Thulborn 1974,Snout-basal tip of quadrate = 79 mm,0,0,"BMNH, Natural History Museum, London, United Kingdom",NHM RU B.54 (type); Thulborn 1974,23.06,NA,25.13,0.0251,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,1.441989594,0.162030002
10,Abrosaurus_dongpoensis,not,Sauropodomorpha,Macronaria,Macronaria,Bajocian,Callovian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hui 1989; skull only,,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 5038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,Achelousaurus_horneri,Achelousaurus_horneri,Ornithischia,Ceratopsidae,Ceratopsidae,Middle_Campanian,Late_Campanian,612,258,85.9,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOR 591 (MTC),"Mature indivdual. Skull measurements available for holotype (Sampson 1995; MOR 485); Sk, basal L: 875; Sk, Tot L: 1629",0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 591,242.86,NA,258,0,measured,194.38,0.0391,HC_for_quadrupedal_ceratopsians_using_FC_and_equation_.28.,1571.707293,0.241657164
240,Achillesaurus_manazzonei,Achillesaurus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Santonian,Santonian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Femoral head only preserved—Measured reconstruction of Martinelli & Vera (2007); femoral length scaled up from Alvarezsaurus by comparing ilia,Poorly preserved,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN-PV-RN 1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Achillobator_giganticus,Achillobator,Theropoda,Dromaeosauridae,Dromaeosauridae,Santonian,Santonian,505,NA,67.3,NA,490,NA,NA,NA,NA,NA,NA,260,234.4,Perle et al. 1999; Novas et al. 2009,,0,0,"MNUFR, Mongolian National University, Ulaan Baatar",MUNFR 15,NA,NA,214.05,0.0376,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,NA,NA,NA,520.8270318,0.185687087
686,Acristavus_gagslarsoni,Acristavus_gagslarsoni,Ornithischia,Hadrosauroidea,Hadrosauroidea,Middle_Campanian,Late_Campanian,NA,NA,NA,NA,975,318,NA,NA,NA,NA,NA,NA,400,pres. obs. EAF,mature; typical hadrosaurid size,0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Acrocanthosaurus_atokensis,Acrocanthosaurus,Theropoda,Allosauroidea,Allosauroidea,Late_Aptian,Middle_Albian,1180,426,142,124,895,351,380,195,NA,NA,108,210,453,Currie & Carpenter 2000; NCSM 14345,,0,0,"NCSM, North Carolina Science Museum, Raleigh, North Carolina, USA",NCSM 14345,418.31,NA,426,0,measured,195,0,measured,3454.953577,0.135
11,Adamantisaurus_mezzalirai,not,Sauropodomorpha,Titanosauria,Titanosauria,Turonian,Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santucci & Bertini 2006; caudal vertebrae only,,0,0,"MUGEO, Museu Geológico Valdemar Lefevre, São Paulo","MUGEO 1282, 1289, 1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
